ts_utc,ts_local,open,high,low,close,volume
2025-07-23 00:15:00+10:00,2025-07-23 00:15:00,3428.2,3430.8,3427.5,3429.8,1666
2025-07-23 00:20:00+10:00,2025-07-23 00:20:00,3429.8,3434.6,3429.0,3434.0,3117
2025-07-23 00:25:00+10:00,2025-07-23 00:25:00,3433.9,3437.4,3433.3,3435.8,2455
2025-07-23 00:30:00+10:00,2025-07-23 00:30:00,3435.8,3442.0,3435.7,3439.2,3529
2025-07-23 00:35:00+10:00,2025-07-23 00:35:00,3439.5,3442.1,3438.1,3440.6,2141
2025-07-23 00:40:00+10:00,2025-07-23 00:40:00,3440.5,3441.8,3438.5,3439.5,1671
2025-07-23 00:45:00+10:00,2025-07-23 00:45:00,3439.3,3439.8,3435.0,3438.5,2502
2025-07-23 00:50:00+10:00,2025-07-23 00:50:00,3438.6,3440.6,3438.4,3440.1,1395
2025-07-23 00:55:00+10:00,2025-07-23 00:55:00,3440.4,3441.5,3438.6,3440.0,1019
2025-07-23 01:00:00+10:00,2025-07-23 01:00:00,3439.9,3445.3,3437.6,3445.1,2989
2025-07-23 01:05:00+10:00,2025-07-23 01:05:00,3445.3,3446.2,3441.1,3441.4,2353
2025-07-23 01:10:00+10:00,2025-07-23 01:10:00,3441.5,3444.0,3439.2,3442.5,1796
2025-07-23 01:15:00+10:00,2025-07-23 01:15:00,3442.7,3443.0,3438.7,3440.2,1565
2025-07-23 01:20:00+10:00,2025-07-23 01:20:00,3440.0,3442.5,3440.0,3442.2,781
2025-07-23 01:25:00+10:00,2025-07-23 01:25:00,3442.2,3442.4,3439.3,3439.3,655
