orb_time,rr,sl_mode,filter_set,trades,wins,losses,wr,total_r,avg_r
1000,2.0,HALF,MAX_STOP_100_TP_CAP_150,495,179,316,36.16161616161616,42.0,0.08484848484848485
1000,2.0,FULL,BASELINE,503,221,282,43.93638170974155,160.0,0.31809145129224653
1000,2.0,FULL,MAX_STOP_100,492,216,276,43.90243902439025,156.0,0.3170731707317073
1000,2.0,FULL,MAX_STOP_100_TP_CAP_150,477,209,268,43.81551362683438,150.0,0.31446540880503143
1000,2.5,HALF,BASELINE,507,163,344,32.149901380670606,63.5,0.1252465483234714
1000,2.5,HALF,MAX_STOP_100,495,157,338,31.717171717171716,54.5,0.1101010101010101
1000,2.5,HALF,MAX_STOP_100_TP_CAP_150,495,157,338,31.717171717171716,54.5,0.1101010101010101
1000,2.5,FULL,BASELINE,503,191,312,37.97216699801193,165.5,0.3290258449304175
1000,2.5,FULL,MAX_STOP_100,492,186,306,37.80487804878049,159.0,0.3231707317073171
1000,2.5,FULL,MAX_STOP_100_TP_CAP_150,455,174,281,38.24175824175824,154.0,0.3384615384615385
1000,3.0,HALF,BASELINE,507,142,365,28.007889546351084,61.0,0.1203155818540434
1000,3.0,HALF,MAX_STOP_100,495,136,359,27.474747474747474,49.0,0.09898989898989899
1000,3.0,HALF,MAX_STOP_100_TP_CAP_150,495,136,359,27.474747474747474,49.0,0.09898989898989899
1000,3.0,FULL,BASELINE,499,166,333,33.26653306613226,165.0,0.3306613226452906
1000,3.0,FULL,MAX_STOP_100,489,164,325,33.537832310838446,167.0,0.34151329243353784
1000,3.0,FULL,MAX_STOP_100_TP_CAP_150,431,140,291,32.48259860788863,129.0,0.29930394431554525
1000,3.5,HALF,BASELINE,506,131,375,25.889328063241106,83.5,0.1650197628458498
1000,3.5,HALF,MAX_STOP_100,495,128,367,25.858585858585858,81.0,0.16363636363636364
1000,3.5,HALF,MAX_STOP_100_TP_CAP_150,490,128,362,26.122448979591837,86.0,0.17551020408163265
1000,3.5,FULL,BASELINE,495,142,353,28.68686868686869,144.0,0.2909090909090909
1000,3.5,FULL,MAX_STOP_100,486,141,345,29.01234567901235,148.5,0.3055555555555556
1000,3.5,FULL,MAX_STOP_100_TP_CAP_150,404,113,291,27.970297029702973,104.5,0.25866336633663367
1000,4.0,HALF,BASELINE,506,113,393,22.33201581027668,59.0,0.116600790513834
1000,4.0,HALF,MAX_STOP_100,495,110,385,22.22222222222222,55.0,0.1111111111111111
1000,4.0,HALF,MAX_STOP_100_TP_CAP_150,480,105,375,21.875,45.0,0.09375
1000,4.0,FULL,BASELINE,492,126,366,25.609756097560975,138.0,0.2804878048780488
1000,4.0,FULL,MAX_STOP_100,483,125,358,25.87991718426501,142.0,0.2939958592132505
