ts_utc,ts_local,open,high,low,close,volume
2025-09-04 00:15:00+10:00,2025-09-04 00:15:00,3619.8,3622.7,3619.7,3622.1,486
2025-09-04 00:16:00+10:00,2025-09-04 00:16:00,3622.2,3623.6,3622.2,3622.7,406
2025-09-04 00:17:00+10:00,2025-09-04 00:17:00,3622.6,3624.0,3621.7,3623.8,397
2025-09-04 00:18:00+10:00,2025-09-04 00:18:00,3623.8,3625.2,3623.6,3624.3,541
2025-09-04 00:19:00+10:00,2025-09-04 00:19:00,3624.5,3626.9,3624.2,3625.2,844
2025-09-04 00:20:00+10:00,2025-09-04 00:20:00,3625.2,3626.1,3624.4,3625.4,467
2025-09-04 00:21:00+10:00,2025-09-04 00:21:00,3625.4,3626.3,3624.1,3626.1,325
2025-09-04 00:22:00+10:00,2025-09-04 00:22:00,3626.2,3626.7,3625.4,3625.8,445
2025-09-04 00:23:00+10:00,2025-09-04 00:23:00,3625.9,3628.1,3625.1,3627.7,795
2025-09-04 00:24:00+10:00,2025-09-04 00:24:00,3627.6,3630.2,3627.5,3629.2,1403
2025-09-04 00:25:00+10:00,2025-09-04 00:25:00,3629.2,3630.4,3628.1,3629.4,667
2025-09-04 00:26:00+10:00,2025-09-04 00:26:00,3629.4,3630.2,3627.7,3629.5,731
2025-09-04 00:27:00+10:00,2025-09-04 00:27:00,3629.7,3630.4,3627.2,3627.4,577
2025-09-04 00:28:00+10:00,2025-09-04 00:28:00,3627.2,3631.0,3627.2,3629.4,749
2025-09-04 00:29:00+10:00,2025-09-04 00:29:00,3629.6,3629.7,3627.5,3628.0,486
2025-09-04 00:30:00+10:00,2025-09-04 00:30:00,3628.2,3629.8,3627.6,3628.1,449
2025-09-04 00:31:00+10:00,2025-09-04 00:31:00,3628.3,3628.4,3625.3,3625.3,661
2025-09-04 00:32:00+10:00,2025-09-04 00:32:00,3625.3,3627.1,3623.8,3623.8,813
2025-09-04 00:33:00+10:00,2025-09-04 00:33:00,3623.8,3624.9,3622.7,3624.5,706
2025-09-04 00:34:00+10:00,2025-09-04 00:34:00,3624.0,3625.8,3623.7,3625.3,554
2025-09-04 00:35:00+10:00,2025-09-04 00:35:00,3625.3,3626.6,3624.8,3626.1,362
2025-09-04 00:36:00+10:00,2025-09-04 00:36:00,3626.0,3626.2,3624.2,3624.3,331
2025-09-04 00:37:00+10:00,2025-09-04 00:37:00,3624.3,3627.6,3624.1,3626.8,473
2025-09-04 00:38:00+10:00,2025-09-04 00:38:00,3626.9,3627.3,3624.9,3625.1,299
2025-09-04 00:39:00+10:00,2025-09-04 00:39:00,3625.2,3626.0,3623.8,3624.3,279
2025-09-04 00:40:00+10:00,2025-09-04 00:40:00,3624.4,3625.5,3623.8,3623.9,298
2025-09-04 00:41:00+10:00,2025-09-04 00:41:00,3624.0,3625.4,3623.6,3624.0,344
2025-09-04 00:42:00+10:00,2025-09-04 00:42:00,3623.9,3625.8,3623.6,3625.8,221
2025-09-04 00:43:00+10:00,2025-09-04 00:43:00,3625.7,3626.5,3625.2,3625.3,303
2025-09-04 00:44:00+10:00,2025-09-04 00:44:00,3625.5,3626.7,3625.2,3626.3,228
2025-09-04 00:45:00+10:00,2025-09-04 00:45:00,3626.3,3626.9,3625.7,3626.5,264
2025-09-04 00:46:00+10:00,2025-09-04 00:46:00,3626.6,3628.9,3626.6,3628.8,454
2025-09-04 00:47:00+10:00,2025-09-04 00:47:00,3628.5,3628.9,3627.9,3628.7,228
2025-09-04 00:48:00+10:00,2025-09-04 00:48:00,3628.6,3628.8,3626.9,3627.3,269
2025-09-04 00:49:00+10:00,2025-09-04 00:49:00,3627.3,3627.8,3625.1,3625.1,331
2025-09-04 00:50:00+10:00,2025-09-04 00:50:00,3625.1,3626.5,3623.7,3626.5,428
2025-09-04 00:51:00+10:00,2025-09-04 00:51:00,3626.6,3626.6,3624.8,3625.1,183
2025-09-04 00:52:00+10:00,2025-09-04 00:52:00,3625.1,3625.2,3621.4,3621.7,695
2025-09-04 00:53:00+10:00,2025-09-04 00:53:00,3621.7,3622.1,3620.4,3621.0,721
