orb,sl_mode,buffer_ticks,rr,confirm,trades,win_rate,total_r,avg_r
0030,half,0.0,1.5,2,317,0.2953020134228188,13.0,0.029082774049217
0030,half,2.0,1.0,1,447,0.4769874476987448,9.0,0.01882845188284519
0030,half,0.0,1.5,1,424,0.3498964803312629,-1.5,-0.003105590062111801
0030,half,5.0,1.5,1,403,0.3333333333333333,-5.5,-0.011530398322851153
0030,half,10.0,1.5,1,372,0.3093220338983051,-7.0,-0.014830508474576272
0030,half,2.0,1.5,1,415,0.3389121338912134,-10.0,-0.02092050209205021
0030,full,20.0,1.5,2,203,0.19395465994962216,-10.5,-0.02644836272040302
0030,full,10.0,1.5,2,203,0.19395465994962216,-10.5,-0.02644836272040302
0030,full,5.0,1.5,2,203,0.19395465994962216,-10.5,-0.02644836272040302
0030,full,0.0,1.5,2,203,0.19395465994962216,-10.5,-0.02644836272040302
0030,full,15.0,1.5,2,203,0.19395465994962216,-10.5,-0.02644836272040302
0030,half,20.0,1.5,1,326,0.2709677419354839,-11.0,-0.023655913978494623
0030,half,0.0,2.0,1,404,0.2712215320910973,-11.0,-0.022774327122153208
0030,half,20.0,1.5,2,226,0.2014218009478673,-13.5,-0.031990521327014215
0030,half,5.0,1.5,2,286,0.24829157175398633,-13.5,-0.030751708428246014
0030,full,20.0,1.5,1,294,0.2557077625570776,-14.0,-0.0319634703196347
0030,full,0.0,1.5,1,294,0.2557077625570776,-14.0,-0.0319634703196347
0030,full,5.0,1.5,1,294,0.2557077625570776,-14.0,-0.0319634703196347
0030,full,10.0,1.5,1,294,0.2557077625570776,-14.0,-0.0319634703196347
0030,full,15.0,1.5,1,294,0.2557077625570776,-14.0,-0.0319634703196347
0030,half,10.0,1.5,2,256,0.22170900692840648,-16.0,-0.03695150115473441
0030,half,15.0,1.5,2,242,0.2112676056338028,-17.0,-0.03990610328638498
0030,half,15.0,1.5,1,340,0.27253218884120173,-22.5,-0.048283261802575105
0030,half,0.0,2.0,2,290,0.19686800894854586,-26.0,-0.058165548098434
0030,half,5.0,2.0,2,264,0.1776765375854214,-30.0,-0.0683371298405467
0030,half,10.0,2.0,2,230,0.15242494226327943,-32.0,-0.07390300230946882
0030,full,20.0,2.0,2,174,0.11586901763224182,-36.0,-0.0906801007556675
0030,full,0.0,2.0,2,174,0.11586901763224182,-36.0,-0.0906801007556675
0030,half,15.0,2.0,2,213,0.13849765258215962,-36.0,-0.08450704225352113
0030,full,10.0,2.0,2,174,0.11586901763224182,-36.0,-0.0906801007556675
0030,full,5.0,2.0,2,174,0.11586901763224182,-36.0,-0.0906801007556675
0030,full,15.0,2.0,2,174,0.11586901763224182,-36.0,-0.0906801007556675
0030,full,20.0,2.0,1,265,0.1735159817351598,-37.0,-0.08447488584474885
0030,full,5.0,2.0,1,265,0.1735159817351598,-37.0,-0.08447488584474885
0030,full,15.0,2.0,1,265,0.1735159817351598,-37.0,-0.08447488584474885
0030,full,10.0,2.0,1,265,0.1735159817351598,-37.0,-0.08447488584474885
0030,full,0.0,2.0,1,265,0.1735159817351598,-37.0,-0.08447488584474885
0030,half,20.0,2.0,1,295,0.18494623655913978,-37.0,-0.07956989247311828
0030,half,2.0,2.0,1,386,0.2405857740585774,-41.0,-0.08577405857740586
0030,half,20.0,2.0,2,194,0.12085308056872038,-41.0,-0.0971563981042654
0030,half,5.0,2.0,1,368,0.22641509433962265,-44.0,-0.09224318658280922
0030,half,15.0,2.0,1,311,0.1888412017167382,-47.0,-0.10085836909871244
0030,full,20.0,2.5,1,250,0.1324200913242009,-47.0,-0.10730593607305935
0030,full,5.0,2.5,1,250,0.1324200913242009,-47.0,-0.10730593607305935
0030,full,15.0,2.5,1,250,0.1324200913242009,-47.0,-0.10730593607305935
0030,full,0.0,2.5,1,250,0.1324200913242009,-47.0,-0.10730593607305935
0030,full,10.0,2.5,1,250,0.1324200913242009,-47.0,-0.10730593607305935
0030,half,10.0,2.0,1,339,0.2055084745762712,-48.0,-0.1016949152542373
0030,half,20.0,2.5,1,277,0.13763440860215054,-53.0,-0.11397849462365592
0030,half,0.0,2.5,2,270,0.13646532438478748,-56.5,-0.12639821029082773
0030,half,15.0,2.5,1,295,0.1459227467811159,-57.0,-0.1223175965665236
0030,half,10.0,2.5,2,208,0.09930715935334873,-57.5,-0.13279445727482678
0030,full,0.0,2.5,2,157,0.07052896725440806,-59.0,-0.1486146095717884
0030,full,15.0,2.5,2,157,0.07052896725440806,-59.0,-0.1486146095717884
0030,full,5.0,2.5,2,157,0.07052896725440806,-59.0,-0.1486146095717884
0030,full,10.0,2.5,2,157,0.07052896725440806,-59.0,-0.1486146095717884
0030,full,20.0,2.5,2,157,0.07052896725440806,-59.0,-0.1486146095717884
0030,half,15.0,2.5,2,192,0.0892018779342723,-59.0,-0.13849765258215962
0030,half,20.0,2.5,2,177,0.07819905213270142,-61.5,-0.1457345971563981
