ts_utc,ts_local,open,high,low,close,volume
2025-07-18 00:15:00+10:00,2025-07-18 00:15:00,3329.9,3331.0,3329.8,3330.8,252
2025-07-18 00:16:00+10:00,2025-07-18 00:16:00,3330.8,3331.1,3330.1,3330.5,213
2025-07-18 00:17:00+10:00,2025-07-18 00:17:00,3330.8,3333.0,3330.7,3332.2,648
2025-07-18 00:18:00+10:00,2025-07-18 00:18:00,3332.3,3333.7,3332.2,3333.1,592
2025-07-18 00:19:00+10:00,2025-07-18 00:19:00,3333.3,3334.3,3332.7,3334.0,468
2025-07-18 00:20:00+10:00,2025-07-18 00:20:00,3334.0,3335.2,3333.0,3333.6,647
2025-07-18 00:21:00+10:00,2025-07-18 00:21:00,3333.8,3333.8,3331.8,3332.1,496
2025-07-18 00:22:00+10:00,2025-07-18 00:22:00,3332.2,3333.4,3332.0,3332.8,249
2025-07-18 00:23:00+10:00,2025-07-18 00:23:00,3332.5,3333.9,3331.7,3333.5,359
2025-07-18 00:24:00+10:00,2025-07-18 00:24:00,3333.6,3333.8,3332.9,3333.0,154
2025-07-18 00:25:00+10:00,2025-07-18 00:25:00,3333.0,3333.2,3332.5,3332.8,130
2025-07-18 00:26:00+10:00,2025-07-18 00:26:00,3332.9,3334.0,3332.9,3333.8,151
2025-07-18 00:27:00+10:00,2025-07-18 00:27:00,3333.6,3334.5,3333.2,3334.0,217
2025-07-18 00:28:00+10:00,2025-07-18 00:28:00,3333.8,3334.7,3333.3,3334.6,160
2025-07-18 00:29:00+10:00,2025-07-18 00:29:00,3334.7,3335.9,3334.7,3335.9,554
2025-07-18 00:30:00+10:00,2025-07-18 00:30:00,3335.9,3336.4,3335.3,3335.6,392
2025-07-18 00:31:00+10:00,2025-07-18 00:31:00,3335.6,3336.2,3335.4,3335.9,206
2025-07-18 00:32:00+10:00,2025-07-18 00:32:00,3335.9,3337.2,3335.8,3336.9,463
2025-07-18 00:33:00+10:00,2025-07-18 00:33:00,3337.0,3339.5,3336.8,3337.3,838
2025-07-18 00:34:00+10:00,2025-07-18 00:34:00,3337.3,3338.0,3337.1,3337.4,166
2025-07-18 00:35:00+10:00,2025-07-18 00:35:00,3337.5,3337.5,3336.0,3336.2,404
2025-07-18 00:36:00+10:00,2025-07-18 00:36:00,3336.5,3338.3,3336.4,3337.9,228
2025-07-18 00:37:00+10:00,2025-07-18 00:37:00,3338.0,3338.8,3337.3,3338.4,224
2025-07-18 00:38:00+10:00,2025-07-18 00:38:00,3338.4,3339.5,3338.2,3339.2,314
