ts_utc,ts_local,open,high,low,close,volume
2025-09-04 00:15:00+10:00,2025-09-04 00:15:00,3619.8,3626.9,3619.7,3625.2,2674
2025-09-04 00:20:00+10:00,2025-09-04 00:20:00,3625.2,3630.2,3624.1,3629.2,3435
2025-09-04 00:25:00+10:00,2025-09-04 00:25:00,3629.2,3631.0,3627.2,3628.0,3210
2025-09-04 00:30:00+10:00,2025-09-04 00:30:00,3628.2,3629.8,3622.7,3625.3,3183
2025-09-04 00:35:00+10:00,2025-09-04 00:35:00,3625.3,3627.6,3623.8,3624.3,1744
2025-09-04 00:40:00+10:00,2025-09-04 00:40:00,3624.4,3626.7,3623.6,3626.3,1394
2025-09-04 00:45:00+10:00,2025-09-04 00:45:00,3626.3,3628.9,3625.1,3625.1,1546
2025-09-04 00:50:00+10:00,2025-09-04 00:50:00,3625.1,3626.6,3617.6,3618.3,3062
2025-09-04 00:55:00+10:00,2025-09-04 00:55:00,3618.3,3623.4,3617.6,3623.3,1846
2025-09-04 01:00:00+10:00,2025-09-04 01:00:00,3623.4,3625.1,3621.2,3622.8,1628
2025-09-04 01:05:00+10:00,2025-09-04 01:05:00,3623.0,3625.9,3622.5,3625.5,879
2025-09-04 01:10:00+10:00,2025-09-04 01:10:00,3625.8,3629.3,3625.7,3628.1,1699
2025-09-04 01:15:00+10:00,2025-09-04 01:15:00,3628.0,3629.5,3626.2,3628.0,1185
2025-09-04 01:20:00+10:00,2025-09-04 01:20:00,3628.1,3629.4,3625.8,3628.0,1003
2025-09-04 01:25:00+10:00,2025-09-04 01:25:00,3628.1,3629.0,3627.4,3628.6,746
