config,filter_name,rr,sl_mode,trades,wins,losses,wr,total_r,avg_r,expectancy
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR3.0_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,3.0,FULL,68,35,33,51.470588235294116,72.0,1.0588235294117647,1.0588235294117645
ASIA_NORMAL_NY_HIGH_RR3.0_SLFULL,ASIA_NORMAL_NY_HIGH,3.0,FULL,148,55,93,37.16216216216216,72.0,0.4864864864864865,0.4864864864864865
ASIA_NORMAL_RR4.0_SLFULL,ASIA_NORMAL,4.0,FULL,193,53,140,27.461139896373055,72.0,0.37305699481865284,0.37305699481865273
ASIA_NORMAL_NY_HIGH_RR1.5_SLFULL,ASIA_NORMAL_NY_HIGH,1.5,FULL,148,87,61,58.78378378378378,69.5,0.46959459459459457,0.4695945945945946
SMALL_ORB_RR1.0_SLFULL,SMALL_ORB,1.0,FULL,175,122,53,69.71428571428572,69.0,0.3942857142857143,0.3942857142857144
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR4.0_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,4.0,FULL,67,27,40,40.298507462686565,68.0,1.0149253731343284,1.0149253731343282
ASIA_NORMAL_RR3.5_SLHALF,ASIA_NORMAL,3.5,HALF,203,60,143,29.55665024630542,67.0,0.33004926108374383,0.330049261083744
NY_HIGH_DIR_RR2.5_SLHALF,NY_HIGH_DIR,2.5,HALF,360,122,238,33.88888888888889,67.0,0.18611111111111112,0.18611111111111123
ASIA_NORMAL_NY_HIGH_RR2.0_SLFULL,ASIA_NORMAL_NY_HIGH,2.0,FULL,148,71,77,47.97297297297297,65.0,0.4391891891891892,0.43918918918918903
SMALL_ORB_RR3.0_SLFULL,SMALL_ORB,3.0,FULL,175,60,115,34.285714285714285,65.0,0.37142857142857144,0.3714285714285712
ASIA_NORMAL_NY_HIGH_RR4.0_SLFULL,ASIA_NORMAL_NY_HIGH,4.0,FULL,146,42,104,28.767123287671232,64.0,0.4383561643835616,0.4383561643835616
SMALL_ORB_RR3.5_SLFULL,SMALL_ORB,3.5,FULL,175,53,122,30.28571428571429,63.5,0.3628571428571429,0.362857142857143
ASIA_NORMAL_NY_HIGH_RR2.5_SLFULL,ASIA_NORMAL_NY_HIGH,2.5,FULL,148,60,88,40.54054054054054,62.0,0.4189189189189189,0.41891891891891897
ASIA_NORMAL_SMALL_ORB_RR1.5_SLFULL,ASIA_NORMAL_SMALL_ORB,1.5,FULL,98,64,34,65.3061224489796,62.0,0.6326530612244898,0.6326530612244898
ASIA_NORMAL_WIDE_RR3.5_SLHALF,ASIA_NORMAL_WIDE,3.5,HALF,294,79,215,26.87074829931973,61.5,0.20918367346938777,0.20918367346938782
ASIA_NORMAL_WIDE_RR4.0_SLFULL,ASIA_NORMAL_WIDE,4.0,FULL,279,68,211,24.372759856630825,61.0,0.21863799283154123,0.21863799283154117
ASIA_NORMAL_NY_HIGH_RR3.5_SLFULL,ASIA_NORMAL_NY_HIGH,3.5,FULL,147,46,101,31.292517006802722,60.0,0.40816326530612246,0.40816326530612257
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR3.5_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,3.5,FULL,67,28,39,41.7910447761194,59.0,0.8805970149253731,0.8805970149253731
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR2.5_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,2.5,FULL,68,36,32,52.94117647058824,58.0,0.8529411764705882,0.8529411764705883
SMALL_ORB_RR2.5_SLFULL,SMALL_ORB,2.5,FULL,175,66,109,37.714285714285715,56.0,0.32,0.32000000000000006
ASIA_NORMAL_NY_HIGH_SKIP_LOW_RR2.0_SLFULL,ASIA_NORMAL_NY_HIGH_SKIP_LOW,2.0,FULL,68,41,27,60.29411764705882,55.0,0.8088235294117647,0.8088235294117646
ASIA_NORMAL_WIDE_RR3.0_SLHALF,ASIA_NORMAL_WIDE,3.0,HALF,294,87,207,29.591836734693878,54.0,0.1836734693877551,0.1836734693877552
