ts_utc,ts_local,open,high,low,close,volume
2025-07-25 00:15:00+10:00,2025-07-25 00:15:00,3375.1,3375.4,3374.3,3374.7,272
2025-07-25 00:16:00+10:00,2025-07-25 00:16:00,3374.6,3376.2,3373.6,3376.0,512
2025-07-25 00:17:00+10:00,2025-07-25 00:17:00,3376.0,3377.4,3375.8,3377.2,594
2025-07-25 00:18:00+10:00,2025-07-25 00:18:00,3377.2,3378.1,3377.1,3377.5,524
2025-07-25 00:19:00+10:00,2025-07-25 00:19:00,3377.4,3378.7,3377.4,3378.1,552
2025-07-25 00:20:00+10:00,2025-07-25 00:20:00,3378.1,3378.7,3377.6,3377.6,392
2025-07-25 00:21:00+10:00,2025-07-25 00:21:00,3377.6,3377.9,3375.9,3377.5,590
2025-07-25 00:22:00+10:00,2025-07-25 00:22:00,3377.2,3377.5,3376.4,3377.1,210
2025-07-25 00:23:00+10:00,2025-07-25 00:23:00,3377.5,3377.8,3376.5,3376.8,206
2025-07-25 00:24:00+10:00,2025-07-25 00:24:00,3376.7,3377.3,3376.1,3376.7,201
2025-07-25 00:25:00+10:00,2025-07-25 00:25:00,3376.7,3377.3,3376.5,3376.9,158
2025-07-25 00:26:00+10:00,2025-07-25 00:26:00,3376.7,3377.7,3376.0,3377.4,366
2025-07-25 00:27:00+10:00,2025-07-25 00:27:00,3377.4,3377.9,3376.6,3377.2,256
2025-07-25 00:28:00+10:00,2025-07-25 00:28:00,3377.0,3377.5,3376.5,3376.9,169
2025-07-25 00:29:00+10:00,2025-07-25 00:29:00,3376.8,3377.2,3376.5,3377.1,87
2025-07-25 00:30:00+10:00,2025-07-25 00:30:00,3377.1,3378.5,3377.1,3378.5,302
2025-07-25 00:31:00+10:00,2025-07-25 00:31:00,3378.2,3379.6,3377.7,3379.4,410
2025-07-25 00:32:00+10:00,2025-07-25 00:32:00,3379.2,3379.4,3378.3,3379.0,235
2025-07-25 00:33:00+10:00,2025-07-25 00:33:00,3378.7,3379.3,3378.2,3379.2,227
2025-07-25 00:34:00+10:00,2025-07-25 00:34:00,3379.2,3379.5,3377.6,3378.0,262
2025-07-25 00:35:00+10:00,2025-07-25 00:35:00,3378.2,3378.7,3377.6,3378.2,109
2025-07-25 00:36:00+10:00,2025-07-25 00:36:00,3378.2,3379.7,3378.1,3379.5,233
2025-07-25 00:37:00+10:00,2025-07-25 00:37:00,3379.5,3380.4,3379.4,3379.7,333
2025-07-25 00:38:00+10:00,2025-07-25 00:38:00,3380.0,3380.3,3379.4,3379.7,209
2025-07-25 00:39:00+10:00,2025-07-25 00:39:00,3379.8,3380.6,3379.5,3380.6,179
2025-07-25 00:40:00+10:00,2025-07-25 00:40:00,3380.7,3381.2,3379.9,3380.3,348
2025-07-25 00:41:00+10:00,2025-07-25 00:41:00,3380.2,3380.4,3379.0,3380.3,329
2025-07-25 00:42:00+10:00,2025-07-25 00:42:00,3380.3,3380.7,3378.9,3379.7,246
2025-07-25 00:43:00+10:00,2025-07-25 00:43:00,3379.8,3380.6,3379.7,3380.2,121
2025-07-25 00:44:00+10:00,2025-07-25 00:44:00,3380.1,3380.8,3379.9,3380.4,126
2025-07-25 00:45:00+10:00,2025-07-25 00:45:00,3380.2,3380.4,3379.4,3379.6,154
2025-07-25 00:46:00+10:00,2025-07-25 00:46:00,3379.6,3380.1,3379.4,3379.7,109
2025-07-25 00:47:00+10:00,2025-07-25 00:47:00,3379.7,3379.7,3378.1,3378.6,315
2025-07-25 00:48:00+10:00,2025-07-25 00:48:00,3378.7,3379.5,3378.1,3379.2,209
2025-07-25 00:49:00+10:00,2025-07-25 00:49:00,3379.3,3379.9,3379.0,3379.2,103
2025-07-25 00:50:00+10:00,2025-07-25 00:50:00,3379.2,3379.3,3377.7,3377.9,260
2025-07-25 00:51:00+10:00,2025-07-25 00:51:00,3377.9,3378.9,3377.3,3378.7,305
2025-07-25 00:52:00+10:00,2025-07-25 00:52:00,3378.6,3379.0,3378.3,3379.0,97
2025-07-25 00:53:00+10:00,2025-07-25 00:53:00,3378.8,3379.3,3378.4,3378.9,166
2025-07-25 00:54:00+10:00,2025-07-25 00:54:00,3379.2,3380.3,3379.1,3379.4,193
2025-07-25 00:55:00+10:00,2025-07-25 00:55:00,3379.4,3379.4,3377.9,3378.8,225
2025-07-25 00:56:00+10:00,2025-07-25 00:56:00,3378.7,3379.0,3376.8,3376.9,426
2025-07-25 00:57:00+10:00,2025-07-25 00:57:00,3376.9,3377.4,3376.0,3376.8,400
2025-07-25 00:58:00+10:00,2025-07-25 00:58:00,3376.6,3378.6,3376.6,3378.3,230
2025-07-25 00:59:00+10:00,2025-07-25 00:59:00,3378.4,3378.5,3377.4,3377.9,103
2025-07-25 01:00:00+10:00,2025-07-25 01:00:00,3377.7,3378.2,3376.8,3376.8,245
2025-07-25 01:01:00+10:00,2025-07-25 01:01:00,3376.5,3376.5,3375.1,3376.0,458
2025-07-25 01:02:00+10:00,2025-07-25 01:02:00,3375.9,3377.0,3375.6,3376.7,234
2025-07-25 01:03:00+10:00,2025-07-25 01:03:00,3376.6,3377.4,3376.2,3376.3,130
2025-07-25 01:04:00+10:00,2025-07-25 01:04:00,3376.2,3376.6,3375.5,3376.4,177
2025-07-25 01:05:00+10:00,2025-07-25 01:05:00,3376.3,3376.5,3375.9,3376.0,80
2025-07-25 01:06:00+10:00,2025-07-25 01:06:00,3376.3,3377.0,3376.0,3376.9,123
2025-07-25 01:07:00+10:00,2025-07-25 01:07:00,3377.0,3378.4,3376.8,3378.0,301
2025-07-25 01:08:00+10:00,2025-07-25 01:08:00,3377.9,3378.2,3377.8,3377.9,88
2025-07-25 01:09:00+10:00,2025-07-25 01:09:00,3377.7,3378.0,3376.1,3376.4,214
2025-07-25 01:10:00+10:00,2025-07-25 01:10:00,3376.4,3377.3,3376.3,3377.0,117
2025-07-25 01:11:00+10:00,2025-07-25 01:11:00,3376.9,3377.0,3376.2,3376.6,92
2025-07-25 01:12:00+10:00,2025-07-25 01:12:00,3376.6,3377.1,3376.2,3376.4,78
2025-07-25 01:13:00+10:00,2025-07-25 01:13:00,3376.4,3376.4,3375.4,3376.3,211
2025-07-25 01:14:00+10:00,2025-07-25 01:14:00,3376.4,3376.4,3374.1,3374.4,346
