date_local,orb,direction,entry_ts,entry_price,stop_price,target_price,stop_ticks,orb_range_ticks,outcome,r_multiple,entry_delay_bars,mae_r,mfe_r,close_confirmations,rr,sl_mode,buffer_ticks
2024-02-01,1800,DOWN,2024-02-01 18:15:00,2057.1,2058.55,2051.6999999999994,14.500000000002728,27.00000000000273,LOSS,-0.5370370370370838,2,1.4482758620686302,0.1379310344826072,1,2.0,half,0.0
2024-02-02,1800,UP,2024-02-02 18:10:00,2073.8,2072.35,2076.4000000000005,14.500000000002728,13.000000000001819,LOSS,-1.1153846153846692,1,1.1724137931034158,0.0,1,2.0,half,0.0
2024-02-05,1800,DOWN,2024-02-05 18:10:00,2041.1,2042.75,2036.1,16.50000000000091,25.0,LOSS,-0.6600000000000363,1,1.030303030303001,2.666666666666437,1,2.0,half,0.0
2024-02-06,1800,DOWN,2024-02-06 18:30:00,2041.2,2042.05,2039.0000000000002,8.49999999999909,10.99999999999909,WIN,2.0,5,0.4705882352940075,2.823529411765115,1,2.0,half,0.0
2024-02-07,1800,DOWN,2024-02-07 18:10:00,2050.0,2050.95,2048.5999999999995,9.499999999998181,7.0000000000027285,WIN,2.0,1,0.4210526315791237,1.6842105263160163,1,2.0,half,0.0
2024-02-08,1800,DOWN,2024-02-08 18:10:00,2047.1,2047.75,2045.3000000000002,6.5000000000009095,8.999999999998636,WIN,2.0,1,0.0,3.230769230768639,1,2.0,half,0.0
2024-02-09,1800,DOWN,2024-02-09 18:10:00,2046.0,2048.1000000000004,2043.1999999999998,21.000000000003638,14.00000000000091,LOSS,-1.5000000000001623,1,1.0476190476187794,0.42857142857139763,1,2.0,half,0.0
2024-02-12,1800,UP,2024-02-12 18:15:00,2040.2,2039.45,2042.3999999999999,7.5,10.99999999999909,LOSS,-0.6818181818182382,2,1.2000000000001212,1.4666666666665453,1,2.0,half,0.0
2024-02-13,1800,DOWN,2024-02-13 18:10:00,2038.1,2038.95,2036.2999999999997,8.500000000001364,9.00000000000091,LOSS,-0.9444444444445006,1,1.4117647058821798,0.11764705882340352,1,2.0,half,0.0
2024-02-14,1800,DOWN,2024-02-14 18:10:00,2000.8,2002.5500000000002,1998.2,17.500000000002274,12.999999999999545,LOSS,-1.346153846154068,1,1.1428571428569945,1.3714285714283152,1,2.0,half,0.0
2024-02-15,1800,UP,2024-02-15 18:10:00,2006.7,2005.3,2007.8999999999999,14.00000000000091,5.9999999999990905,WIN,2.0,1,0.9285714285713358,0.9285714285713358,1,2.0,half,0.0
2024-02-16,1800,DOWN,2024-02-16 18:10:00,2016.2,2016.9,2014.6000000000001,7.000000000000455,7.999999999999545,LOSS,-0.8750000000001066,1,1.0,0.4285714285713358,1,2.0,half,0.0
2024-02-19,1800,DOWN,2024-02-19 18:35:00,2031.3,2032.1,2029.3,7.999999999999545,10.0,LOSS,-0.7999999999999545,6,1.250000000000071,1.1249999999998934,1,2.0,half,0.0
