orb,rr,confirm,trades,win_rate,total_r,avg_r
0030,1.5,2,203,0.19395465994962216,-10.5,-0.02644836272040302
0030,1.5,1,294,0.2557077625570776,-14.0,-0.0319634703196347
0030,1.5,3,143,0.13636363636363635,-23.0,-0.06534090909090909
0030,2.0,2,174,0.11586901763224182,-36.0,-0.0906801007556675
0030,2.0,1,265,0.1735159817351598,-37.0,-0.08447488584474885
0030,2.0,3,127,0.08522727272727272,-37.0,-0.10511363636363637
0030,2.5,1,250,0.1324200913242009,-47.0,-0.10730593607305935
0030,2.5,3,115,0.05113636363636364,-52.0,-0.14772727272727273
0030,2.5,2,157,0.07052896725440806,-59.0,-0.1486146095717884
0030,3.0,2,150,0.05037783375314862,-70.0,-0.17632241813602015
0030,3.0,3,107,0.02556818181818182,-71.0,-0.20170454545454544
0030,3.0,1,233,0.091324200913242,-73.0,-0.16666666666666666
0900,1.5,2,455,0.3741935483870968,-20.0,-0.043010752688172046
0900,2.5,2,446,0.25806451612903225,-26.0,-0.05591397849462366
0900,2.0,2,447,0.3010752688172043,-27.0,-0.05806451612903226
0900,3.0,2,444,0.22365591397849463,-28.0,-0.060215053763440864
0900,3.0,1,459,0.21548117154811716,-47.0,-0.09832635983263599
0900,1.5,3,440,0.3443708609271523,-50.0,-0.11037527593818984
0900,1.5,1,467,0.34518828451882844,-54.5,-0.11401673640167365
0900,2.5,1,461,0.24267782426778242,-55.0,-0.11506276150627615
0900,2.0,3,432,0.271523178807947,-63.0,-0.1390728476821192
0900,3.0,3,426,0.1986754966887417,-66.0,-0.1456953642384106
0900,2.0,1,463,0.27615062761506276,-67.0,-0.1401673640167364
0900,2.5,3,429,0.22737306843267108,-68.5,-0.15121412803532008
1000,3.0,2,449,0.2771855010660981,71.0,0.1513859275053305
1000,2.5,2,452,0.29850746268656714,38.0,0.08102345415778252
1000,3.0,1,472,0.26239669421487605,36.0,0.0743801652892562
1000,1.5,2,465,0.4157782515991471,22.5,0.04797441364605544
1000,2.5,1,476,0.29338842975206614,21.0,0.04338842975206612
1000,2.5,3,428,0.2813186813186813,20.0,0.04395604395604396
1000,1.5,3,447,0.4087912087912088,18.0,0.03956043956043956
1000,2.0,2,457,0.3368869936034115,17.0,0.03624733475479744
1000,2.0,1,477,0.33884297520661155,15.0,0.030991735537190084
1000,1.5,1,482,0.40702479338842973,10.5,0.02169421487603306
1000,2.0,3,437,0.3274725274725275,10.0,0.02197802197802198
1000,3.0,3,414,0.23076923076923078,6.0,0.013186813186813187
1100,2.0,1,389,0.2745995423340961,-29.0,-0.06636155606407322
1100,2.0,2,344,0.25862068965517243,-29.0,-0.07142857142857142
1100,1.5,1,401,0.3340961098398169,-36.0,-0.08237986270022883
1100,1.5,3,322,0.2868020304568528,-39.5,-0.10025380710659898
1100,2.0,3,308,0.22588832487309646,-41.0,-0.10406091370558376
1100,1.5,2,360,0.312807881773399,-42.5,-0.10467980295566502
1100,2.5,1,374,0.2151029748283753,-45.0,-0.10297482837528604
1100,2.5,2,327,0.19704433497536947,-47.0,-0.11576354679802955
1100,3.0,3,285,0.14720812182741116,-53.0,-0.13451776649746192
1100,3.0,2,316,0.15517241379310345,-64.0,-0.15763546798029557
1100,3.0,1,362,0.16933638443935928,-66.0,-0.15102974828375287
1100,2.5,3,289,0.1598984771573604,-68.5,-0.17385786802030456
1800,1.5,1,476,0.3910386965376782,4.0,0.008146639511201629
1800,2.0,1,462,0.31160896130346233,-3.0,-0.006109979633401222
1800,2.0,2,433,0.28541666666666665,-22.0,-0.04583333333333333
1800,2.5,1,450,0.2484725050916497,-23.0,-0.04684317718940937
1800,1.5,2,448,0.3541666666666667,-23.0,-0.04791666666666667
1800,1.5,3,431,0.33192389006342493,-38.5,-0.08139534883720931
1800,3.0,1,436,0.1975560081466395,-48.0,-0.09775967413441955
1800,2.5,2,415,0.21458333333333332,-54.5,-0.11354166666666667
1800,2.0,3,408,0.23255813953488372,-78.0,-0.1649048625792812
1800,3.0,2,401,0.16458333333333333,-85.0,-0.17708333333333334
1800,2.5,3,386,0.16701902748414377,-109.5,-0.23150105708245244
1800,3.0,3,375,0.13530655391120508,-119.0,-0.25158562367864695
2300,1.5,3,207,0.24633431085043989,3.0,0.008797653958944282
2300,1.5,1,392,0.34,-9.5,-0.021111111111111112
2300,2.0,3,179,0.1466275659824047,-29.0,-0.08504398826979472
2300,1.5,2,304,0.2684729064039409,-31.5,-0.07758620689655173
2300,2.0,1,350,0.2222222222222222,-50.0,-0.1111111111111111
2300,2.5,3,162,0.09090909090909091,-53.5,-0.15689149560117302
2300,2.0,2,274,0.1724137931034483,-64.0,-0.15763546798029557
2300,3.0,3,153,0.06451612903225806,-65.0,-0.1906158357771261
2300,2.5,2,252,0.11822660098522167,-84.0,-0.20689655172413793
2300,2.5,1,325,0.14888888888888888,-90.5,-0.2011111111111111
2300,3.0,2,240,0.08620689655172414,-100.0,-0.24630541871921183
2300,3.0,1,313,0.11777777777777777,-101.0,-0.22444444444444445
