ts_utc,ts_local,open,high,low,close,volume
2025-09-20 00:15:00+10:00,2025-09-20 00:15:00,3693.5,3694.0,3692.2,3692.5,289
2025-09-20 00:16:00+10:00,2025-09-20 00:16:00,3692.6,3692.9,3690.5,3690.9,948
2025-09-20 00:17:00+10:00,2025-09-20 00:17:00,3691.0,3691.1,3689.0,3689.0,733
2025-09-20 00:18:00+10:00,2025-09-20 00:18:00,3689.0,3690.6,3688.9,3689.5,431
2025-09-20 00:19:00+10:00,2025-09-20 00:19:00,3689.5,3690.5,3689.1,3690.1,221
2025-09-20 00:20:00+10:00,2025-09-20 00:20:00,3690.3,3691.5,3690.3,3690.8,344
2025-09-20 00:21:00+10:00,2025-09-20 00:21:00,3690.9,3690.9,3689.5,3690.9,239
2025-09-20 00:22:00+10:00,2025-09-20 00:22:00,3690.8,3691.7,3690.1,3691.7,283
2025-09-20 00:23:00+10:00,2025-09-20 00:23:00,3691.7,3694.6,3691.4,3693.6,827
2025-09-20 00:24:00+10:00,2025-09-20 00:24:00,3693.5,3694.8,3693.3,3694.8,476
2025-09-20 00:25:00+10:00,2025-09-20 00:25:00,3694.8,3696.6,3694.5,3696.1,808
2025-09-20 00:26:00+10:00,2025-09-20 00:26:00,3696.4,3697.2,3695.8,3697.0,593
2025-09-20 00:27:00+10:00,2025-09-20 00:27:00,3697.0,3697.3,3696.4,3696.5,468
2025-09-20 00:28:00+10:00,2025-09-20 00:28:00,3696.6,3697.8,3696.4,3696.6,475
2025-09-20 00:29:00+10:00,2025-09-20 00:29:00,3696.5,3697.3,3696.4,3697.1,312
2025-09-20 00:30:00+10:00,2025-09-20 00:30:00,3697.2,3697.6,3696.9,3697.6,247
2025-09-20 00:31:00+10:00,2025-09-20 00:31:00,3697.5,3698.4,3696.8,3698.0,476
2025-09-20 00:32:00+10:00,2025-09-20 00:32:00,3698.2,3698.2,3696.3,3697.5,451
2025-09-20 00:33:00+10:00,2025-09-20 00:33:00,3697.5,3697.5,3696.3,3696.5,287
2025-09-20 00:34:00+10:00,2025-09-20 00:34:00,3696.8,3697.0,3695.4,3695.6,428
2025-09-20 00:35:00+10:00,2025-09-20 00:35:00,3695.7,3697.3,3695.3,3697.1,358
2025-09-20 00:36:00+10:00,2025-09-20 00:36:00,3697.2,3698.4,3696.9,3698.0,414
2025-09-20 00:37:00+10:00,2025-09-20 00:37:00,3697.9,3697.9,3696.6,3697.2,171
2025-09-20 00:38:00+10:00,2025-09-20 00:38:00,3697.2,3698.6,3697.1,3698.4,389
2025-09-20 00:39:00+10:00,2025-09-20 00:39:00,3698.4,3699.0,3698.2,3698.7,356
2025-09-20 00:40:00+10:00,2025-09-20 00:40:00,3698.6,3698.9,3697.8,3698.4,278
2025-09-20 00:41:00+10:00,2025-09-20 00:41:00,3698.2,3698.4,3697.5,3697.6,321
2025-09-20 00:42:00+10:00,2025-09-20 00:42:00,3697.5,3698.2,3696.2,3696.4,335
2025-09-20 00:43:00+10:00,2025-09-20 00:43:00,3696.2,3697.0,3695.7,3697.0,257
2025-09-20 00:44:00+10:00,2025-09-20 00:44:00,3697.0,3697.7,3696.2,3697.6,210
