ts_utc,ts_local,open,high,low,close,volume
2025-08-29 00:15:00+10:00,2025-08-29 00:15:00,3468.7,3469.0,3466.7,3467.0,336
2025-08-29 00:16:00+10:00,2025-08-29 00:16:00,3467.1,3468.0,3466.9,3467.6,239
2025-08-29 00:17:00+10:00,2025-08-29 00:17:00,3467.5,3468.2,3467.0,3467.4,132
2025-08-29 00:18:00+10:00,2025-08-29 00:18:00,3467.5,3467.7,3466.7,3466.9,131
2025-08-29 00:19:00+10:00,2025-08-29 00:19:00,3466.8,3466.9,3466.4,3466.6,159
2025-08-29 00:20:00+10:00,2025-08-29 00:20:00,3466.6,3467.5,3466.6,3467.3,101
2025-08-29 00:21:00+10:00,2025-08-29 00:21:00,3467.2,3467.3,3465.3,3465.4,533
2025-08-29 00:22:00+10:00,2025-08-29 00:22:00,3465.5,3467.1,3465.5,3466.0,224
2025-08-29 00:23:00+10:00,2025-08-29 00:23:00,3465.8,3465.8,3463.6,3464.5,611
2025-08-29 00:24:00+10:00,2025-08-29 00:24:00,3464.5,3466.3,3464.4,3465.9,210
2025-08-29 00:25:00+10:00,2025-08-29 00:25:00,3466.0,3466.3,3465.5,3466.2,103
2025-08-29 00:26:00+10:00,2025-08-29 00:26:00,3466.2,3466.7,3465.5,3466.3,170
2025-08-29 00:27:00+10:00,2025-08-29 00:27:00,3466.3,3467.0,3465.9,3466.7,143
2025-08-29 00:28:00+10:00,2025-08-29 00:28:00,3466.7,3468.0,3466.5,3468.0,232
2025-08-29 00:29:00+10:00,2025-08-29 00:29:00,3468.0,3468.6,3467.6,3467.8,281
2025-08-29 00:30:00+10:00,2025-08-29 00:30:00,3467.5,3468.4,3467.0,3467.8,162
2025-08-29 00:31:00+10:00,2025-08-29 00:31:00,3467.5,3467.8,3466.9,3467.1,85
2025-08-29 00:32:00+10:00,2025-08-29 00:32:00,3467.2,3467.7,3467.1,3467.6,62
2025-08-29 00:33:00+10:00,2025-08-29 00:33:00,3467.5,3467.9,3467.4,3467.9,57
2025-08-29 00:34:00+10:00,2025-08-29 00:34:00,3467.9,3468.7,3467.8,3468.7,185
2025-08-29 00:35:00+10:00,2025-08-29 00:35:00,3468.7,3469.5,3468.1,3468.5,391
2025-08-29 00:36:00+10:00,2025-08-29 00:36:00,3468.4,3468.7,3467.6,3468.1,197
2025-08-29 00:37:00+10:00,2025-08-29 00:37:00,3467.8,3468.3,3467.2,3468.3,127
2025-08-29 00:38:00+10:00,2025-08-29 00:38:00,3468.2,3468.7,3468.0,3468.7,91
2025-08-29 00:39:00+10:00,2025-08-29 00:39:00,3468.5,3469.0,3468.4,3468.6,108
2025-08-29 00:40:00+10:00,2025-08-29 00:40:00,3468.7,3470.9,3468.7,3470.7,702
2025-08-29 00:41:00+10:00,2025-08-29 00:41:00,3470.7,3471.0,3470.0,3470.4,313
2025-08-29 00:42:00+10:00,2025-08-29 00:42:00,3470.5,3470.5,3468.5,3469.2,318
2025-08-29 00:43:00+10:00,2025-08-29 00:43:00,3469.2,3469.4,3468.5,3468.8,235
2025-08-29 00:44:00+10:00,2025-08-29 00:44:00,3468.6,3469.3,3467.5,3468.5,462
2025-08-29 00:45:00+10:00,2025-08-29 00:45:00,3468.8,3469.9,3468.5,3469.7,217
2025-08-29 00:46:00+10:00,2025-08-29 00:46:00,3469.8,3469.8,3468.3,3468.8,155
2025-08-29 00:47:00+10:00,2025-08-29 00:47:00,3468.8,3468.9,3468.3,3468.7,96
2025-08-29 00:48:00+10:00,2025-08-29 00:48:00,3468.6,3468.9,3468.1,3468.7,73
2025-08-29 00:49:00+10:00,2025-08-29 00:49:00,3468.6,3469.5,3468.2,3469.2,151
2025-08-29 00:50:00+10:00,2025-08-29 00:50:00,3469.0,3469.0,3467.7,3468.3,83
2025-08-29 00:51:00+10:00,2025-08-29 00:51:00,3468.2,3468.9,3467.9,3468.4,59
2025-08-29 00:52:00+10:00,2025-08-29 00:52:00,3468.2,3468.8,3468.2,3468.8,47
2025-08-29 00:53:00+10:00,2025-08-29 00:53:00,3468.5,3469.0,3468.5,3468.8,57
2025-08-29 00:54:00+10:00,2025-08-29 00:54:00,3469.0,3469.6,3468.7,3468.8,98
2025-08-29 00:55:00+10:00,2025-08-29 00:55:00,3468.8,3469.2,3468.5,3469.2,153
2025-08-29 00:56:00+10:00,2025-08-29 00:56:00,3469.2,3469.3,3468.7,3468.7,48
2025-08-29 00:57:00+10:00,2025-08-29 00:57:00,3468.9,3469.7,3468.7,3469.4,82
2025-08-29 00:58:00+10:00,2025-08-29 00:58:00,3469.6,3469.6,3469.2,3469.3,78
2025-08-29 00:59:00+10:00,2025-08-29 00:59:00,3469.2,3469.5,3468.6,3468.7,111
2025-08-29 01:00:00+10:00,2025-08-29 01:00:00,3468.7,3469.3,3468.5,3468.7,73
2025-08-29 01:01:00+10:00,2025-08-29 01:01:00,3468.6,3468.8,3467.9,3468.6,161
2025-08-29 01:02:00+10:00,2025-08-29 01:02:00,3468.2,3469.0,3468.1,3468.6,64
2025-08-29 01:03:00+10:00,2025-08-29 01:03:00,3468.7,3469.5,3468.3,3469.3,102
2025-08-29 01:04:00+10:00,2025-08-29 01:04:00,3468.9,3469.2,3468.1,3468.1,117
2025-08-29 01:05:00+10:00,2025-08-29 01:05:00,3468.1,3468.3,3467.3,3468.3,202
