ts_utc,ts_local,open,high,low,close,volume
2025-08-29 00:15:00+10:00,2025-08-29 00:15:00,3468.7,3469.0,3466.4,3466.6,997
2025-08-29 00:20:00+10:00,2025-08-29 00:20:00,3466.6,3467.5,3463.6,3465.9,1679
2025-08-29 00:25:00+10:00,2025-08-29 00:25:00,3466.0,3468.6,3465.5,3467.8,929
2025-08-29 00:30:00+10:00,2025-08-29 00:30:00,3467.5,3468.7,3466.9,3468.7,551
2025-08-29 00:35:00+10:00,2025-08-29 00:35:00,3468.7,3469.5,3467.2,3468.6,914
2025-08-29 00:40:00+10:00,2025-08-29 00:40:00,3468.7,3471.0,3467.5,3468.5,2030
2025-08-29 00:45:00+10:00,2025-08-29 00:45:00,3468.8,3469.9,3468.1,3469.2,692
2025-08-29 00:50:00+10:00,2025-08-29 00:50:00,3469.0,3469.6,3467.7,3468.8,344
2025-08-29 00:55:00+10:00,2025-08-29 00:55:00,3468.8,3469.7,3468.5,3468.7,472
2025-08-29 01:00:00+10:00,2025-08-29 01:00:00,3468.7,3469.5,3467.9,3468.1,517
2025-08-29 01:05:00+10:00,2025-08-29 01:05:00,3468.1,3468.4,3467.3,3467.3,521
2025-08-29 01:10:00+10:00,2025-08-29 01:10:00,3467.4,3468.5,3467.0,3467.9,501
2025-08-29 01:15:00+10:00,2025-08-29 01:15:00,3467.9,3468.1,3464.7,3464.9,970
2025-08-29 01:20:00+10:00,2025-08-29 01:20:00,3464.8,3464.8,3460.4,3462.6,2381
2025-08-29 01:25:00+10:00,2025-08-29 01:25:00,3462.5,3463.7,3461.0,3461.4,1017
