ts_utc,ts_local,open,high,low,close,volume
2025-03-14 00:15:00+10:00,2025-03-14 00:15:00,2962.7,2963.5,2961.2,2963.2,696
2025-03-14 00:20:00+10:00,2025-03-14 00:20:00,2963.2,2964.1,2962.2,2963.6,617
2025-03-14 00:25:00+10:00,2025-03-14 00:25:00,2963.7,2964.0,2962.2,2963.0,569
2025-03-14 00:30:00+10:00,2025-03-14 00:30:00,2962.9,2965.5,2961.9,2965.0,1360
2025-03-14 00:35:00+10:00,2025-03-14 00:35:00,2965.0,2968.8,2964.9,2968.5,1836
2025-03-14 00:40:00+10:00,2025-03-14 00:40:00,2968.4,2977.6,2967.3,2976.6,5265
2025-03-14 00:45:00+10:00,2025-03-14 00:45:00,2976.4,2982.1,2974.8,2981.6,4312
2025-03-14 00:50:00+10:00,2025-03-14 00:50:00,2981.5,2984.6,2978.8,2979.7,4138
2025-03-14 00:55:00+10:00,2025-03-14 00:55:00,2979.7,2981.8,2977.5,2980.5,1921
2025-03-14 01:00:00+10:00,2025-03-14 01:00:00,2980.8,2984.5,2977.6,2981.6,3882
2025-03-14 01:05:00+10:00,2025-03-14 01:05:00,2981.5,2982.2,2977.2,2979.1,1808
2025-03-14 01:10:00+10:00,2025-03-14 01:10:00,2979.1,2984.5,2979.1,2983.8,1977
2025-03-14 01:15:00+10:00,2025-03-14 01:15:00,2983.9,2985.6,2982.9,2983.5,1642
2025-03-14 01:20:00+10:00,2025-03-14 01:20:00,2983.7,2986.2,2982.7,2985.6,1262
2025-03-14 01:25:00+10:00,2025-03-14 01:25:00,2985.6,2986.7,2982.3,2983.0,1315
