ts_utc,ts_local,open,high,low,close,volume
2025-03-14 00:15:00+10:00,2025-03-14 00:15:00,2962.7,2963.5,2962.2,2963.0,217
2025-03-14 00:16:00+10:00,2025-03-14 00:16:00,2962.9,2963.2,2962.8,2963.0,68
2025-03-14 00:17:00+10:00,2025-03-14 00:17:00,2963.1,2963.4,2961.9,2962.4,153
2025-03-14 00:18:00+10:00,2025-03-14 00:18:00,2962.2,2962.8,2961.2,2962.6,141
2025-03-14 00:19:00+10:00,2025-03-14 00:19:00,2962.2,2963.3,2962.2,2963.2,117
2025-03-14 00:20:00+10:00,2025-03-14 00:20:00,2963.2,2963.7,2962.9,2963.4,109
2025-03-14 00:21:00+10:00,2025-03-14 00:21:00,2963.2,2963.5,2962.2,2962.5,105
2025-03-14 00:22:00+10:00,2025-03-14 00:22:00,2962.7,2963.4,2962.6,2963.0,107
2025-03-14 00:23:00+10:00,2025-03-14 00:23:00,2962.8,2963.6,2962.8,2963.1,94
2025-03-14 00:24:00+10:00,2025-03-14 00:24:00,2963.2,2964.1,2963.1,2963.6,202
2025-03-14 00:25:00+10:00,2025-03-14 00:25:00,2963.7,2964.0,2962.5,2962.8,161
2025-03-14 00:26:00+10:00,2025-03-14 00:26:00,2962.9,2963.6,2962.5,2963.5,115
2025-03-14 00:27:00+10:00,2025-03-14 00:27:00,2963.6,2963.6,2962.9,2963.4,105
2025-03-14 00:28:00+10:00,2025-03-14 00:28:00,2963.3,2963.6,2962.8,2963.1,94
2025-03-14 00:29:00+10:00,2025-03-14 00:29:00,2963.3,2963.5,2962.2,2963.0,94
2025-03-14 00:30:00+10:00,2025-03-14 00:30:00,2962.9,2964.3,2962.9,2963.5,174
2025-03-14 00:31:00+10:00,2025-03-14 00:31:00,2963.5,2964.0,2961.9,2963.8,218
2025-03-14 00:32:00+10:00,2025-03-14 00:32:00,2963.9,2964.4,2963.7,2964.2,249
2025-03-14 00:33:00+10:00,2025-03-14 00:33:00,2964.3,2965.5,2963.8,2964.3,595
2025-03-14 00:34:00+10:00,2025-03-14 00:34:00,2964.2,2965.0,2963.6,2965.0,124
2025-03-14 00:35:00+10:00,2025-03-14 00:35:00,2965.0,2966.2,2964.9,2965.8,435
2025-03-14 00:36:00+10:00,2025-03-14 00:36:00,2966.1,2966.9,2965.7,2966.4,272
2025-03-14 00:37:00+10:00,2025-03-14 00:37:00,2966.7,2967.8,2966.5,2967.4,393
2025-03-14 00:38:00+10:00,2025-03-14 00:38:00,2967.5,2968.6,2967.2,2968.4,466
2025-03-14 00:39:00+10:00,2025-03-14 00:39:00,2968.4,2968.8,2967.6,2968.5,270
2025-03-14 00:40:00+10:00,2025-03-14 00:40:00,2968.4,2969.6,2967.3,2969.5,631
2025-03-14 00:41:00+10:00,2025-03-14 00:41:00,2969.6,2972.4,2969.5,2972.2,1316
2025-03-14 00:42:00+10:00,2025-03-14 00:42:00,2972.3,2972.7,2971.5,2971.9,503
2025-03-14 00:43:00+10:00,2025-03-14 00:43:00,2972.1,2973.3,2971.8,2973.1,389
2025-03-14 00:44:00+10:00,2025-03-14 00:44:00,2973.1,2977.6,2973.1,2976.6,2426
2025-03-14 00:45:00+10:00,2025-03-14 00:45:00,2976.4,2977.1,2974.8,2976.2,923
2025-03-14 00:46:00+10:00,2025-03-14 00:46:00,2976.2,2977.9,2975.8,2977.1,633
2025-03-14 00:47:00+10:00,2025-03-14 00:47:00,2977.2,2977.7,2975.4,2977.3,616
2025-03-14 00:48:00+10:00,2025-03-14 00:48:00,2977.4,2980.3,2976.7,2980.2,887
2025-03-14 00:49:00+10:00,2025-03-14 00:49:00,2980.2,2982.1,2979.8,2981.6,1253
2025-03-14 00:50:00+10:00,2025-03-14 00:50:00,2981.5,2984.6,2981.2,2984.1,1274
2025-03-14 00:51:00+10:00,2025-03-14 00:51:00,2983.8,2984.5,2982.4,2983.3,828
2025-03-14 00:52:00+10:00,2025-03-14 00:52:00,2983.0,2983.3,2981.2,2981.9,702
2025-03-14 00:53:00+10:00,2025-03-14 00:53:00,2981.9,2981.9,2979.0,2979.4,863
2025-03-14 00:54:00+10:00,2025-03-14 00:54:00,2979.4,2980.1,2978.8,2979.7,471
2025-03-14 00:55:00+10:00,2025-03-14 00:55:00,2979.7,2980.1,2978.4,2979.5,537
2025-03-14 00:56:00+10:00,2025-03-14 00:56:00,2979.4,2979.6,2978.7,2979.2,268
2025-03-14 00:57:00+10:00,2025-03-14 00:57:00,2979.0,2980.9,2977.5,2980.9,481
2025-03-14 00:58:00+10:00,2025-03-14 00:58:00,2981.0,2981.8,2980.0,2980.5,377
2025-03-14 00:59:00+10:00,2025-03-14 00:59:00,2980.3,2980.8,2979.8,2980.5,258
2025-03-14 01:00:00+10:00,2025-03-14 01:00:00,2980.8,2981.7,2977.6,2981.5,1084
2025-03-14 01:01:00+10:00,2025-03-14 01:01:00,2981.6,2984.0,2981.2,2983.7,1083
2025-03-14 01:02:00+10:00,2025-03-14 01:02:00,2983.4,2984.5,2981.3,2981.5,821
2025-03-14 01:03:00+10:00,2025-03-14 01:03:00,2981.2,2982.2,2979.5,2981.1,410
2025-03-14 01:04:00+10:00,2025-03-14 01:04:00,2981.3,2982.1,2980.1,2981.6,484
