state_name,state_label,n_dates,reaction_entries,reaction_wr,reaction_avg_r,reaction_total_r,baseline_trades,baseline_wr,baseline_avg_r,baseline_total_r,delta_r,verdict
State #1,NORMAL+D_SMALL+HIGH+MID,28,15,60.0,0.48,7.21,28,39.3,-0.018,-0.5,0.498,PASS - Reaction WINS
State #2,NORMAL+D_SMALL+MID+MID,33,15,60.0,0.9161755687265775,13.742633530898662,33,57.57575757575758,0.4393939393939394,14.5,0.47678162933263807,PASS - Reaction WINS
State #3,NORMAL+D_SMALL+MID+LOW,47,19,78.94736842105263,0.6681453544070824,12.694761733734566,47,38.297872340425535,-0.0425531914893617,-2.0,0.7106985458964441,PASS - Reaction WINS
