orb,symbol,total_trades,optimal_rr,optimal_win_rate,optimal_avg_r,optimal_total_r,baseline_1r_avg_r,improvement_vs_1r
0900,NQ,223,1.0,52.91479820627802,0.05829596412556054,13.0,0.05829596412556054,0.0
1000,NQ,224,1.0,57.9185520361991,0.1583710407239819,35.0,0.1583710407239819,0.0
1100,NQ,224,1.0,61.64383561643836,0.2328767123287671,51.0,0.2328767123287671,0.0
1800,NQ,223,1.0,61.990950226244344,0.2398190045248869,53.0,0.2398190045248869,0.0
2300,NQ,223,1.0,50.9009009009009,0.018018018018018018,4.0,0.018018018018018018,0.0
0030,NQ,223,1.0,63.942307692307686,0.27884615384615385,58.0,0.27884615384615385,0.0
